브랜드,의류코드,리뷰,별점,작성일
무신사스탠다드,2028327,길이도 딱맞고 핏조 좋아서 자주입을거같어요 가성비좋습니다,5,21.08.18
무신사스탠다드,2028327,허리가 큰편입니다,2,24.04.11
무신사스탠다드,2028327,핏은 스트레이트 핏이라,5,24.02.17
무신사스탠다드,2028327,적당한 와이드를 원했는데 이게 딱이네요! 와이드팬츠는 너무 핏이 커서 쌀가마니핏 나와서 반품하고 이걸로,5,23.12.12
무신사스탠다드,2028327,너무 이쁘게 잘맞네요 핏도 좋고 애용할거같아용,5,23.11.21
무신사스탠다드,2028327,무탠다드 속에서도 가장 무난한 바지가 될거 같아요 색감은 중청과 연청 사이에 있는 느낌입니다.,5,23.08.24
무신사스탠다드,2028327,예뻐요 편하고 시원하고,5,23.08.02
무신사스탠다드,2028327,예뻐요 편하고 시원하고,5,23.08.02
무신사스탠다드,2028327,가성비 최고 이쁘게 딱 떨어지네여 잘입을게요 감사합니다,5,23.07.30
무신사스탠다드,2028327,핏이랑 두께감은 다 좋습니다. 다만 기장감이 길지 않아서 아쉬워요. 사진 좀 내려입은게 저정도 입니다.,4,23.07.26
무신사스탠다드,2028327,사이즈 적당하고 특히 기장이 딱 맞아 수선 안 하고 바로 입을 수 있어서 좋습니다.,5,23.07.22
무신사스탠다드,2028327,크림진으로 삿다가 맘에들어서 연청도 구매했습니다,5,23.07.19
무신사스탠다드,2028327,사이즈도 잘맞고 착용감도 편해요. 무게감은 아주 살짝있는데 저는 무게감 있는게 좋아요. 재질도 좋고 오버핏으로,5,23.07.15
무신사스탠다드,2028327,이뻐요 재질도 젛고 근데 좀 짧아요... 다리가 긴편은 아닌듯한데,5,23.07.09
무신사스탠다드,2028327,어떤 옷이랑도 잘 어울리고 청바지가 편해서 스타일링하기 좋아요,5,23.06.30
무신사스탠다드,2028327,무난하게 입기 좋은 청바지 두께감도 적당해서 좋아요,5,23.06.25
무신사스탠다드,2028327,바지가 두께감이 있는 편이라서 가을부터 입으면 딱입니다,5,23.06.23
무신사스탠다드,2028327,마른 사람이 입으면 와이드 핏으로 생각할 정도로 통이 큰 것 같습니다. 요즘 스타일로 입기 좋습니다.,4,23.06.23
무신사스탠다드,2028327,바지핏이 이쁘게 나와서 매우 만족합니다 잘입을게요,5,23.06.18
무신사스탠다드,2028327,생각보다 이뻣다 가격대비 상당히 만족하고있다,5,23.06.02
무신사스탠다드,2028327,흑청이 만족스러워서 하나더 구입했습니다,5,23.05.13
무신사스탠다드,2028327,34사이즈~~허리가 살짝 크지만 기장이나 뒷쪽 핏은 잘 맞네요,5,23.05.11
무신사스탠다드,2028327,"정말 이쁜 연청입니다! 너무 와이드 하지도, 슬림하지도 않은 레귤러 핏입니다!",5,23.04.30
무신사스탠다드,2028327,이 제품과 동일한 무탠다드 제품과 사이즈가 다름 엉덩이와 허벅지가 보다 더 타이트함 이 바지는 비추드림,3,23.04.24
무신사스탠다드,2028327,색상 연청이고 제가 원하는 기장감 너무좋습니다 ㅠㅜ 세미와이드 느낌이에욥,5,23.04.10
무신사스탠다드,2028327,색감이 생각보다 밝아요 봄에는 괜찮습니다 밑단 수선했어요,4,23.04.06
무신사스탠다드,2028327,제가 산 바지중에 젤 만족하는 바지에요! 핏도 그렇고 가격도 저렴하고 다른 색상도 구매 예정입니다!!,5,23.03.24
무신사스탠다드,2028327,연청 색깔 이쁘고 무신사바지 너무너무 마음에 들어요 잘 구입한거같습니다,5,23.03.16
무신사스탠다드,2028327,"핏, 색감, 가격 모두 만족합니다!",5,23.03.13
무신사스탠다드,2028327,음 기본에 충실한거라 무탠다드 그 자체에요 추천,5,23.03.11
무신사스탠다드,2028327,핏 아주 좋게 잘 떨어지는 바지 입니다! 매우 만족 합니다.,5,23.02.27
무신사스탠다드,2028327,"길이감도 좋고 전체적으로 밝아서 어두운 상의와 입기 좋아요, 약간 뻣뻣한 감이 없지않아요",5,23.02.24
무신사스탠다드,2028327,너무 이쁜 옷 너무 이쁜 핏 여름 제외하고는 다 입구 다니구 싶은 옷이에요!!,5,23.02.22
무신사스탠다드,2028327,데일리로 자주 입게 되는 바지에요!,5,23.02.20
무신사스탠다드,2028327,진짜 핏 감 최고예요.바지 색도 예쁘고 편한해서,5,23.02.20
무신사스탠다드,2028327,185기준 기장이 조그 짧다는 느낌은 있으나,5,23.02.19
무신사스탠다드,2028327,딱떨어지게 이쁘게 입을수 있는 바지에요.,5,23.01.24
무신사스탠다드,2028327,무난하고 손이 쉅게 잘 가는 제품입니다 만족해요,5,23.01.07
무신사스탠다드,2028327,사이즈가 저한테 잘 맞습니다.,5,22.12.25
무신사스탠다드,2028327,청바지 이뻐요 바지핏도 너무 이쁘고 통이 특히 너무 좋습니다,5,22.11.27
무신사스탠다드,2028327,무난무난하게 아무런 코디에도 어울려요. 가격도 저렴하고 이염도 없고 색도 마음에 들어요,5,22.11.19
